from_id,to_id,relationship_type,confidence,source_url,notes
TECH-ISO-ISO-10012-2003-2003,TECH-ISO-ISO-14001-2026-2026,references,source-confirmed,https://www.iso.org/standard/26033,Extracted from ISO source metadata text referencing ISO 14001.
TECH-ISO-ISO-10012-2003-2003,TECH-ISO-ISO-9001-2015-AMD-1-2024-2024,references,source-confirmed,https://www.iso.org/standard/26033,Extracted from ISO source metadata text referencing ISO 9001.
TECH-ISO-ISO-10012-2003-2003,TECH-ISO-ISO-IEC-17025-2017-2017,references,source-confirmed,https://www.iso.org/standard/26033,Extracted from ISO source metadata text referencing ISO/IEC 17025.
TECH-ISO-ISO-10012-2026-2026,TECH-ISO-ISO-IEC-17025-2017-2017,references,source-confirmed,https://www.iso.org/standard/85864,Extracted from ISO source metadata text referencing ISO/IEC 17025.
TECH-ISO-ISO-10014-2006-2006,TECH-ISO-ISO-9000-2015-2015,references,source-confirmed,https://www.iso.org/standard/37263,Extracted from ISO source metadata text referencing ISO 9000.
TECH-ISO-ISO-10014-2006-2006,TECH-ISO-ISO-9004-2018-2018,references,source-confirmed,https://www.iso.org/standard/37263,Extracted from ISO source metadata text referencing ISO 9004.
TECH-ISO-ISO-10014-2021-2021,TECH-ISO-ISO-9000-2015-2015,references,source-confirmed,https://www.iso.org/standard/75233,Extracted from ISO source metadata text referencing ISO 9000.
TECH-ISO-ISO-10014-2021-2021,TECH-ISO-ISO-9001-2015-AMD-1-2024-2024,references,source-confirmed,https://www.iso.org/standard/75233,Extracted from ISO source metadata text referencing ISO 9001.
TECH-ISO-ISO-10014-2021-2021,TECH-ISO-ISO-9004-2018-2018,references,source-confirmed,https://www.iso.org/standard/75233,Extracted from ISO source metadata text referencing ISO 9004.
TECH-ISO-ISO-10015-2019-2019,TECH-ISO-ISO-9000-2015-2015,references,source-confirmed,https://www.iso.org/standard/69459,Extracted from ISO source metadata text referencing ISO 9000.
TECH-ISO-ISO-10017-2021-2021,TECH-ISO-ISO-9001-2015-AMD-1-2024-2024,references,source-confirmed,https://www.iso.org/standard/77577,Extracted from ISO source metadata text referencing ISO 9001.
TECH-ISO-ISO-10033-2-2011-2011,TECH-ISO-ISO-WD-10033-0000,references,source-confirmed,https://www.iso.org/standard/52668,Extracted from ISO source metadata text referencing ISO 10033.
TECH-ISO-ISO-10042-2005-2005,TECH-ISO-ISO-4063-2023-2023,references,source-confirmed,https://www.iso.org/standard/25464,Extracted from ISO source metadata text referencing ISO 4063.
TECH-ISO-ISO-1005-1-1994-1994,TECH-ISO-ISO-404-2013-AMD-1-2022-2022,references,source-confirmed,https://www.iso.org/standard/1201,Extracted from ISO source metadata text referencing ISO 404.
TECH-ISO-ISO-1005-2-1986-1986,TECH-ISO-ISO-1005-1-1994-1994,references,source-confirmed,https://www.iso.org/standard/5460,Extracted from ISO source metadata text referencing ISO 1005-1.
TECH-ISO-ISO-1005-2-1986-1986,TECH-ISO-ISO-1005-4-1986-1986,references,source-confirmed,https://www.iso.org/standard/5460,Extracted from ISO source metadata text referencing ISO 1005-4.
TECH-ISO-ISO-1005-2-1986-1986,TECH-ISO-ISO-404-2013-AMD-1-2022-2022,references,source-confirmed,https://www.iso.org/standard/5460,Extracted from ISO source metadata text referencing ISO 404.
TECH-ISO-ISO-1005-3-1982-1982,TECH-ISO-ISO-404-2013-AMD-1-2022-2022,references,source-confirmed,https://www.iso.org/standard/5461,Extracted from ISO source metadata text referencing ISO 404.
TECH-ISO-ISO-1005-4-1986-1986,TECH-ISO-ISO-404-2013-AMD-1-2022-2022,references,source-confirmed,https://www.iso.org/standard/5463,Extracted from ISO source metadata text referencing ISO 404.
TECH-ISO-ISO-1005-6-1994-1994,TECH-ISO-ISO-404-2013-AMD-1-2022-2022,references,source-confirmed,https://www.iso.org/standard/5466,Extracted from ISO source metadata text referencing ISO 404.
TECH-ISO-ISO-1005-8-1986-1986,TECH-ISO-ISO-404-2013-AMD-1-2022-2022,references,source-confirmed,https://www.iso.org/standard/5468,Extracted from ISO source metadata text referencing ISO 404.
